t,ke,pe,ke_err,pe_err
231,5.57653085e-05,-2.81420538e-06,1.22638655e-01,1.26023711e-01
232,5.57888630e-05,-2.81410699e-06,1.22268069e-01,1.26054268e-01
233,5.58112523e-05,-2.81397901e-06,1.21915817e-01,1.26094013e-01
234,5.58323474e-05,-2.81381821e-06,1.21583925e-01,1.26143950e-01
235,5.58520230e-05,-2.81362146e-06,1.21274367e-01,1.26205053e-01
236,5.58701573e-05,-2.81338571e-06,1.20989058e-01,1.26278266e-01
237,5.58866326e-05,-2.81310804e-06,1.20729850e-01,1.26364500e-01
238,5.59013358e-05,-2.81278562e-06,1.20498523e-01,1.26464630e-01
239,5.59141586e-05,-2.81241576e-06,1.20296781e-01,1.26579493e-01
240,5.59249977e-05,-2.81199591e-06,1.20126249e-01,1.26709882e-01
241,5.59337552e-05,-2.81152364e-06,1.19988465e-01,1.26856548e-01
242,5.59403394e-05,-2.81099669e-06,1.19884876e-01,1.27020197e-01
243,5.59446641e-05,-2.81041295e-06,1.19816834e-01,1.27201483e-01
244,5.59466499e-05,-2.80977047e-06,1.19785592e-01,1.27401013e-01
245,5.59462237e-05,-2.80906746e-06,1.19792297e-01,1.27619339e-01
246,5.59433193e-05,-2.80830232e-06,1.19837992e-01,1.27856959e-01
247,5.59378777e-05,-2.80747362e-06,1.19923606e-01,1.28114318e-01
248,5.59298467e-05,-2.80658013e-06,1.20049958e-01,1.28391800e-01
249,5.59191819e-05,-2.80562078e-06,1.20217749e-01,1.28689734e-01
250,5.59058460e-05,-2.80459472e-06,1.20427564e-01,1.29008388e-01
251,5.58898096e-05,-2.80350126e-06,1.20679866e-01,1.29347970e-01
252,5.58710508e-05,-2.80233994e-06,1.20975000e-01,1.29708629e-01
253,5.58495555e-05,-2.80111047e-06,1.21313188e-01,1.30090452e-01
254,5.58253172e-05,-2.79981277e-06,1.21694532e-01,1.30493465e-01
255,5.57983372e-05,-2.79844694e-06,1.22119011e-01,1.30917634e-01
256,5.57686245e-05,-2.79701329e-06,1.22586484e-01,1.31362866e-01
257,5.57361957e-05,-2.79551232e-06,1.23096689e-01,1.31829006e-01
258,5.57010749e-05,-2.79394471e-06,1.23649249e-01,1.32315841e-01
259,5.56632936e-05,-2.79231133e-06,1.24243665e-01,1.32823101e-01
260,5.56228906e-05,-2.79061324e-06,1.24879330e-01,1.33350459e-01
261,5.55799117e-05,-2.78885166e-06,1.25555521e-01,1.33897533e-01
262,5.55344097e-05,-2.78702800e-06,1.26271410e-01,1.34463886e-01
263,5.54864439e-05,-2.78514383e-06,1.27026061e-01,1.35049031e-01
264,5.54360801e-05,-2.78320088e-06,1.27818440e-01,1.35652431e-01
265,5.53833903e-05,-2.78120104e-06,1.28647413e-01,1.36273501e-01
266,5.53284524e-05,-2.77914633e-06,1.29511756e-01,1.36911609e-01
267,5.52713499e-05,-2.77703892e-06,1.30410156e-01,1.37566082e-01
268,5.52121714e-05,-2.77488112e-06,1.31341217e-01,1.38236207e-01
269,5.51510107e-05,-2.77267535e-06,1.32303465e-01,1.38921229e-01
270,5.50879661e-05,-2.77042414e-06,1.33295353e-01,1.39620363e-01
271,5.50231401e-05,-2.76813013e-06,1.34315266e-01,1.40332786e-01
272,5.49566394e-05,-2.76579607e-06,1.35361529e-01,1.41057650e-01
273,5.48885740e-05,-2.76342477e-06,1.36432409e-01,1.41794077e-01
274,5.48190571e-05,-2.76101915e-06,1.37526125e-01,1.42541164e-01
275,5.47482051e-05,-2.75858217e-06,1.38640848e-01,1.43297991e-01
276,5.46761364e-05,-2.75611686e-06,1.39774711e-01,1.44063615e-01
277,5.46029719e-05,-2.75362630e-06,1.40925816e-01,1.44837079e-01
278,5.45288341e-05,-2.75111361e-06,1.42092234e-01,1.45617415e-01
279,5.44538469e-05,-2.74858196e-06,1.43272016e-01,1.46403643e-01
280,5.43781352e-05,-2.74603451e-06,1.44463195e-01,1.47194777e-01
281,5.43018248e-05,-2.74347445e-06,1.45663794e-01,1.47989825e-01
282,5.42250418e-05,-2.74090499e-06,1.46871829e-01,1.48787795e-01
283,5.41479122e-05,-2.73832931e-06,1.48085317e-01,1.49587694e-01
284,5.40705619e-05,-2.73575060e-06,1.49302278e-01,1.50388534e-01
285,5.39931161e-05,-2.73317203e-06,1.50520740e-01,1.51189331e-01
286,5.39156993e-05,-2.73059674e-06,1.51738747e-01,1.51989111e-01
287,5.38384345e-05,-2.72802784e-06,1.52954362e-01,1.52786908e-01
288,5.37614436e-05,-2.72546838e-06,1.54165668e-01,1.53581769e-01
289,5.36848464e-05,-2.72292140e-06,1.55370779e-01,1.54372757e-01
290,5.36087612e-05,-2.72038985e-06,1.56567836e-01,1.55158951e-01
291,5.35333035e-05,-2.71787665e-06,1.57755019e-01,1.55939446e-01
292,5.34585869e-05,-2.71538464e-06,1.58930544e-01,1.56713362e-01
293,5.33847218e-05,-2.71291660e-06,1.60092670e-01,1.57479835e-01
294,5.33118162e-05,-2.71047521e-06,1.61239701e-01,1.58238030e-01
295,5.32399748e-05,-2.70806310e-06,1.62369990e-01,1.58987133e-01
296,5.31692990e-05,-2.70568279e-06,1.63481940e-01,1.59726357e-01
