t,ke,pe,ke_err,pe_err
284,6.35593235e-05,-3.21997511e-06,1.46129029e-05,8.34399369e-06
285,6.35594874e-05,-3.21997925e-06,1.20343085e-05,7.05831172e-06
286,6.35596418e-05,-3.21998315e-06,9.60562578e-06,5.84758781e-06
287,6.35597860e-05,-3.21998679e-06,7.33673746e-06,4.71676343e-06
288,6.35599195e-05,-3.21999016e-06,5.23689764e-06,3.67046580e-06
289,6.35600417e-05,-3.21999324e-06,3.31469498e-06,2.71298934e-06
290,6.35601520e-05,-3.21999603e-06,1.57801828e-06,1.84827859e-06
291,6.35602502e-05,-3.21999850e-06,3.40249209e-08,1.07991232e-06
292,6.35603357e-05,-3.22000066e-06,1.31088782e-06,4.11089272e-07
293,6.35604081e-05,-3.22000248e-06,2.45110847e-06,1.55384741e-07
294,6.35604673e-05,-3.22000397e-06,3.38183393e-06,6.17108105e-07
295,6.35605129e-05,-3.22000511e-06,4.09908887e-06,9.72093098e-07
296,6.35605447e-05,-3.22000590e-06,4.59974183e-06,1.21877395e-06
297,6.35605626e-05,-3.22000635e-06,4.88151800e-06,1.35601322e-06
298,6.35605665e-05,-3.22000643e-06,4.94300860e-06,1.38310650e-06
299,6.35605564e-05,-3.22000617e-06,4.78367683e-06,1.29978539e-06
300,6.35605323e-05,-3.22000554e-06,4.40386040e-06,1.10621875e-06
301,6.35604942e-05,-3.22000457e-06,3.80477053e-06,8.03012225e-07
302,6.35604423e-05,-3.22000324e-06,2.98848761e-06,3.91206017e-07
303,6.35603768e-05,-3.22000157e-06,1.95795324e-06,1.27729010e-07
304,6.35602979e-05,-3.21999956e-06,7.16959067e-07,7.51896980e-07
305,6.35602060e-05,-3.21999722e-06,7.29867903e-07,1.47898432e-06
306,6.35601013e-05,-3.21999455e-06,2.37708323e-06,2.30626874e-06
307,6.35599842e-05,-3.21999158e-06,4.21844623e-06,3.23062978e-06
308,6.35598553e-05,-3.21998830e-06,6.24694428e-06,4.24856104e-06
309,6.35597150e-05,-3.21998473e-06,8.45482022e-06,5.35618383e-06
310,6.35595638e-05,-3.21998089e-06,1.08336027e-05,6.54926234e-06
311,6.35594023e-05,-3.21997679e-06,1.33741394e-05,7.82322026e-06
312,6.35592311e-05,-3.21997244e-06,1.60666326e-05,9.17315866e-06
313,6.35590510e-05,-3.21996787e-06,1.89006783e-05,1.05938753e-05
314,6.35588626e-05,-3.21996308e-06,2.18653060e-05,1.20798848e-05
315,6.35586666e-05,-3.21995811e-06,2.49490229e-05,1.36254406e-05
316,6.35584638e-05,-3.21995296e-06,2.81398582e-05,1.52245571e-05
317,6.35582549e-05,-3.21994766e-06,3.14254106e-05,1.68710335e-05
318,6.35580409e-05,-3.21994222e-06,3.47928967e-05,1.85584779e-05
319,6.35578225e-05,-3.21993668e-06,3.82292017e-05,2.02803327e-05
320,6.35576006e-05,-3.21993104e-06,4.17209305e-05,2.20299002e-05
321,6.35573760e-05,-3.21992534e-06,4.52544610e-05,2.38003690e-05
322,6.35571496e-05,-3.21991960e-06,4.88159968e-05,2.55848409e-05
323,6.35569223e-05,-3.21991383e-06,5.23916226e-05,2.73763580e-05
324,6.35566950e-05,-3.21990806e-06,5.59673581e-05,2.91679299e-05
325,6.35564687e-05,-3.21990231e-06,5.95292133e-05,3.09525614e-05
326,6.35562440e-05,-3.21989661e-06,6.30632439e-05,3.27232802e-05
327,6.35560221e-05,-3.21989098e-06,6.65556058e-05,3.44731639e-05
328,6.35558036e-05,-3.21988543e-06,6.99926098e-05,3.61953679e-05
329,6.35555895e-05,-3.21988000e-06,7.33607754e-05,3.78831517e-05
330,6.35553806e-05,-3.21987469e-06,7.66468843e-05,3.95299058e-05
331,6.35551778e-05,-3.21986954e-06,7.98380320e-05,4.11291780e-05
332,6.35549818e-05,-3.21986457e-06,8.29216789e-05,4.26746982e-05
333,6.35547934e-05,-3.21985978e-06,8.58856997e-05,4.41604035e-05
334,6.35546134e-05,-3.21985521e-06,8.87184313e-05,4.55804624e-05
335,6.35544424e-05,-3.21985087e-06,9.14087187e-05,4.69292970e-05
336,6.35542811e-05,-3.21984677e-06,9.39459589e-05,4.82016059e-05
337,6.35541302e-05,-3.21984294e-06,9.63201430e-05,4.93923843e-05
338,6.35539903e-05,-3.21983938e-06,9.85218954e-05,5.04969443e-05
339,6.35538618e-05,-3.21983611e-06,1.00542511e-04,5.15109333e-05
340,6.35537454e-05,-3.21983315e-06,1.02373990e-04,5.24303512e-05
341,6.35536415e-05,-3.21983051e-06,1.04009068e-04,5.32515659e-05
342,6.35535505e-05,-3.21982819e-06,1.05441247e-04,5.39713282e-05
343,6.35534727e-05,-3.21982621e-06,1.06664820e-04,5.45867842e-05
344,6.35534085e-05,-3.21982457e-06,1.07674893e-04,5.50954869e-05
345,6.35533581e-05,-3.21982328e-06,1.08467404e-04,5.54954058e-05
346,6.35533218e-05,-3.21982235e-06,1.09039142e-04,5.57849351e-05
347,6.35532996e-05,-3.21982178e-06,1.09387757e-04,5.59628998e-05
348,6.35532917e-05,-3.21982157e-06,1.09511772e-04,5.60285608e-05
349,6.35532982e-05,-3.21982172e-06,1.09410585e-04,5.59816177e-05
350,6.35533189e-05,-3.21982223e-06,1.09084475e-04,5.58222101e-05
351,6.35533539e-05,-3.21982311e-06,1.08534601e-04,5.55509172e-05
352,6.35534029e-05,-3.21982434e-06,1.07762996e-04,5.51687557e-05
353,6.35534659e-05,-3.21982592e-06,1.06772561e-04,5.46771759e-05
354,6.35535425e-05,-3.21982785e-06,1.05567052e-04,5.40780558e-05
355,6.35536325e-05,-3.21983012e-06,1.04151065e-04,5.33736943e-05
